,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Failure Type
4182,Low,302.4,310.7,1362.0,54.8,155.0,Heat Dissipation Failure
4183,Low,302.3,310.7,1402.0,50.9,157.0,No Failure
4184,Low,302.2,310.6,1334.0,53.2,159.0,Heat Dissipation Failure
4185,Low,302.2,310.6,1348.0,48.4,161.0,Heat Dissipation Failure
4186,Medium,302.2,310.6,1570.0,34.6,163.0,No Failure
4187,Medium,302.2,310.7,1601.0,33.0,166.0,No Failure
4188,Medium,302.3,310.8,1611.0,31.8,169.0,No Failure
4189,Low,302.4,310.9,1560.0,31.8,172.0,No Failure
4190,High,302.4,310.9,1444.0,40.7,174.0,No Failure
4191,Low,302.4,311.0,1317.0,59.4,179.0,No Failure
4192,Medium,302.5,311.0,1463.0,43.1,181.0,No Failure
4193,Low,302.4,311.1,1634.0,34.2,184.0,No Failure
4194,Low,302.4,311.0,1423.0,46.2,186.0,No Failure
4195,Low,302.5,311.0,1548.0,38.4,188.0,No Failure
4196,Medium,302.5,311.0,1563.0,35.6,190.0,No Failure
4197,Low,302.4,311.0,1573.0,36.5,193.0,No Failure
4198,Medium,302.4,311.1,1432.0,44.5,195.0,No Failure
4199,Medium,302.5,311.1,1638.0,32.0,198.0,No Failure
4200,Low,302.5,311.1,1571.0,34.2,201.0,No Failure
4201,Low,302.4,311.0,1895.5,15.4,203.0,No Failure
4202,Low,302.4,311.0,1555.0,40.6,205.0,No Failure
4203,Medium,302.3,310.9,1558.0,31.9,207.0,No Failure
4204,Medium,302.3,310.9,1523.0,43.2,210.0,No Failure
4205,Low,302.3,310.8,1723.0,26.3,213.0,No Failure
4206,Medium,302.3,310.8,1721.0,28.4,215.0,No Failure
4207,Medium,302.3,310.9,1710.0,30.4,218.0,Tool Wear Failure
4208,Medium,302.3,310.9,1627.0,32.3,0.0,No Failure
4209,Medium,302.2,310.8,1422.0,47.0,3.0,No Failure
4210,Low,302.1,310.8,1565.0,35.3,6.0,No Failure
4211,Low,302.1,310.7,1314.0,52.8,8.0,Heat Dissipation Failure
4212,Medium,302.0,310.6,1392.0,60.5,10.0,No Failure
4213,Low,302.1,310.7,1465.0,40.7,13.0,No Failure
4214,Low,301.9,310.6,1573.0,36.6,15.0,No Failure
4215,Medium,302.0,310.7,1895.5,17.8,17.0,No Failure
4216,Low,301.9,310.7,1370.0,50.3,20.0,No Failure
4217,Low,301.9,310.6,1462.0,38.8,22.0,No Failure
4218,Medium,302.0,310.6,1479.0,40.5,24.0,No Failure
4219,Low,301.9,310.7,1717.0,26.8,27.0,No Failure
4220,Medium,301.9,310.6,1260.0,65.9,29.0,No Failure
4221,Low,301.9,310.6,1467.0,39.3,32.0,No Failure
4222,Medium,302.0,310.6,1535.0,38.6,34.0,No Failure
4223,Low,302.0,310.7,1657.0,31.9,37.0,No Failure
4224,Low,302.0,310.7,1698.0,28.1,39.0,No Failure
4225,Low,302.1,310.7,1359.0,49.3,41.0,Heat Dissipation Failure
4226,Low,302.1,310.8,1596.0,37.1,43.0,No Failure
4227,Low,302.2,310.8,1383.0,46.9,45.0,No Failure
4228,Low,302.2,310.8,1895.5,16.6,47.0,No Failure
4229,Medium,302.2,310.8,1408.0,46.8,49.0,No Failure
4230,Low,302.2,310.8,1673.0,32.9,52.0,No Failure
4231,Low,302.2,310.8,1340.0,47.8,54.0,No Failure
4232,Low,302.2,310.9,1452.0,42.3,56.0,No Failure
4233,Medium,302.2,310.9,1302.0,53.4,58.0,No Failure
4234,High,302.2,310.9,1522.0,35.9,61.0,No Failure
4235,Low,302.2,310.8,1438.0,41.4,66.0,No Failure
4236,Low,302.2,310.9,1604.0,40.5,68.0,No Failure
4237,Low,302.2,311.0,1832.0,23.2,70.0,No Failure
4238,Medium,302.3,311.0,1521.0,34.8,72.0,No Failure
4239,Low,302.3,311.0,1446.0,37.6,75.0,No Failure
4240,Low,302.4,311.1,1895.5,20.9,77.0,No Failure
4241,Low,302.4,311.0,1475.0,47.9,79.0,No Failure
4242,Low,302.4,311.0,1462.0,48.5,81.0,No Failure
4243,Medium,302.4,310.9,1435.0,42.3,83.0,No Failure
4244,Low,302.4,310.9,1469.0,39.6,86.0,No Failure
4245,Medium,302.6,311.1,1520.0,43.0,88.0,No Failure
4246,Low,302.6,311.0,1537.0,35.5,91.0,No Failure
4247,Low,302.6,311.0,1369.0,60.0,93.0,Heat Dissipation Failure
4248,Low,302.6,311.0,1506.0,37.2,95.0,No Failure
4249,Low,302.5,310.9,1330.0,56.9,97.0,Heat Dissipation Failure
4250,Low,302.6,311.0,1660.0,38.0,99.0,No Failure
4251,High,302.5,310.9,1356.0,55.5,101.0,Heat Dissipation Failure
4252,High,302.6,311.0,1438.0,51.0,106.0,No Failure
4253,Medium,302.6,311.0,1329.0,48.6,111.0,Heat Dissipation Failure
4254,Low,302.6,311.0,1284.0,67.19999999999999,114.0,Power Failure
4255,Medium,302.5,311.0,1387.0,52.1,116.0,No Failure
4256,Medium,302.6,311.0,1591.0,33.9,119.0,No Failure
4257,Medium,302.6,311.0,1589.0,39.0,122.0,No Failure
4258,Medium,302.7,311.1,1297.0,60.7,125.0,Heat Dissipation Failure
4259,Low,302.7,311.2,1545.0,35.1,128.0,No Failure
4260,High,302.7,311.1,1418.0,43.4,130.0,No Failure
4261,Low,302.7,311.1,1730.0,28.1,135.0,No Failure
4262,Low,302.6,311.0,1895.5,20.7,137.0,No Failure
4263,Low,302.6,311.0,1620.0,36.2,139.0,No Failure
4264,Medium,302.6,311.0,1542.0,39.7,141.0,No Failure
4265,Low,302.6,311.0,1424.0,38.0,144.0,No Failure
4266,Low,302.7,311.1,1440.0,39.5,146.0,No Failure
4267,Low,302.6,311.0,1520.0,42.8,148.0,No Failure
4268,Low,302.7,311.0,1694.0,29.8,150.0,No Failure
4269,Low,302.6,311.0,1610.0,39.2,152.0,No Failure
4270,Low,302.6,310.9,1331.0,52.0,154.0,Heat Dissipation Failure
4271,Low,302.6,310.8,1470.0,41.2,156.0,No Failure
4272,Low,302.5,310.8,1577.0,36.9,158.0,No Failure
4273,Low,302.6,310.8,1486.0,36.4,160.0,No Failure
4274,Low,302.4,310.6,1445.0,40.3,162.0,No Failure
4275,Medium,302.4,310.5,1500.0,36.7,164.0,No Failure
4276,Medium,302.2,310.4,1456.0,47.5,167.0,No Failure
4277,Low,302.2,310.4,1743.0,28.1,170.0,No Failure
4278,Low,302.0,310.1,1409.0,50.4,172.0,No Failure
4279,Low,302.0,310.1,1361.0,45.4,174.0,Heat Dissipation Failure
4280,Low,302.1,310.1,1753.0,28.9,176.0,No Failure
4281,Low,302.0,310.0,1832.0,22.9,178.0,No Failure
4282,Low,301.9,309.9,1374.0,48.5,180.0,Heat Dissipation Failure
4283,Medium,301.8,309.9,1334.0,61.0,182.0,Heat Dissipation Failure
4284,Low,301.8,310.0,1493.0,40.3,185.0,No Failure
4285,Low,301.7,309.9,1317.0,49.0,187.0,Heat Dissipation Failure
4286,Medium,301.7,309.9,1434.0,47.9,189.0,No Failure
4287,Medium,301.7,309.9,1457.0,39.2,192.0,No Failure
4288,Medium,301.7,310.0,1391.0,50.6,195.0,No Failure
4289,Medium,301.8,310.0,1781.0,23.9,198.0,No Failure
4290,Low,301.8,310.0,1642.0,32.6,201.0,No Failure
4291,Low,301.8,310.0,1895.5,19.0,203.0,No Failure
4292,Medium,301.8,310.1,1895.5,13.9,205.0,Power Failure
4293,Low,301.8,310.0,1393.0,44.9,208.0,No Failure
4294,Medium,301.7,310.1,1743.0,27.3,210.0,No Failure
4295,Low,301.8,310.2,1457.0,40.4,213.0,No Failure
4296,Low,301.8,310.2,1895.5,12.800000000000011,215.0,Power Failure
4297,Medium,301.8,310.2,1609.0,34.2,217.0,No Failure
4298,Medium,301.8,310.2,1437.0,42.3,0.0,No Failure
4299,Low,301.7,310.1,1402.0,50.1,3.0,No Failure
4300,Medium,301.7,310.1,1644.0,34.6,5.0,No Failure
4301,Low,301.7,310.2,1471.0,51.1,8.0,No Failure
4302,Low,301.7,310.1,1895.5,12.800000000000011,10.0,No Failure
4303,Low,301.7,310.2,1435.0,48.1,12.0,No Failure
4304,Low,301.6,310.1,1694.0,26.3,14.0,No Failure
4305,Low,301.6,310.1,1687.0,26.6,16.0,No Failure
4306,Low,301.6,310.0,1869.0,22.9,18.0,No Failure
4307,Low,301.4,309.9,1259.0,63.9,20.0,Heat Dissipation Failure
4308,High,301.4,309.9,1460.0,47.2,22.0,No Failure
4309,Medium,301.3,309.9,1501.0,39.5,27.0,No Failure
4310,Low,301.4,310.0,1776.0,25.6,30.0,No Failure
4311,Medium,301.5,310.1,1468.0,40.8,32.0,No Failure
4312,Low,301.5,310.1,1430.0,46.5,35.0,No Failure
4313,Low,301.4,310.1,1502.0,46.6,37.0,No Failure
4314,High,301.4,310.1,1623.0,32.3,39.0,No Failure
4315,Medium,301.4,310.0,1651.0,29.8,44.0,No Failure
4316,Low,301.5,310.1,1639.0,33.4,47.0,No Failure
4317,Medium,301.5,310.0,1417.0,44.6,49.0,No Failure
4318,Low,301.5,310.1,1541.0,42.2,52.0,No Failure
4319,Medium,301.6,310.2,1411.0,45.1,54.0,No Failure
4320,Low,301.7,310.3,1397.0,44.6,57.0,No Failure
4321,Low,301.7,310.2,1686.0,28.9,59.0,No Failure
4322,Medium,301.7,310.1,1431.0,44.0,61.0,No Failure
4323,Low,301.8,310.3,1341.0,50.5,64.0,Heat Dissipation Failure
4324,Low,301.7,310.2,1486.0,43.0,66.0,No Failure
4325,Low,301.6,310.2,1384.0,57.1,68.0,No Failure
4326,Low,301.6,310.1,1362.0,55.8,70.0,Heat Dissipation Failure
4327,High,301.7,310.1,1660.0,29.3,72.0,No Failure
4328,Low,301.6,310.1,1326.0,48.2,77.0,Heat Dissipation Failure
4329,Low,301.6,310.0,1566.0,30.3,79.0,No Failure
4330,Low,301.5,309.8,1549.0,38.5,81.0,No Failure
4331,Medium,301.6,309.9,1746.0,31.1,83.0,No Failure
4332,Medium,301.7,309.9,1452.0,41.5,86.0,No Failure
4333,Low,301.6,309.8,1588.0,33.9,89.0,No Failure
4334,Low,301.6,309.8,1472.0,42.5,91.0,No Failure
4335,Low,301.7,309.9,1607.0,37.7,93.0,No Failure
4336,High,301.6,309.9,1423.0,53.6,95.0,No Failure
4337,Low,301.6,309.9,1440.0,43.4,100.0,No Failure
4338,Low,301.6,309.9,1397.0,43.7,102.0,No Failure
4339,Low,301.7,309.9,1524.0,46.6,104.0,No Failure
4340,Medium,301.7,309.9,1533.0,40.9,106.0,No Failure
4341,Low,301.7,309.8,1398.0,46.0,109.0,No Failure
4342,Medium,301.7,309.8,1284.0,67.19999999999999,111.0,Power Failure
4343,Low,301.7,309.8,1491.0,39.3,114.0,No Failure
4344,High,301.8,309.9,1418.0,51.3,116.0,No Failure
4345,Medium,301.8,309.8,1546.0,39.8,121.0,No Failure
4346,Low,301.8,309.7,1598.0,30.4,124.0,No Failure
4347,High,301.9,309.8,1724.0,27.5,126.0,No Failure
4348,Low,301.9,309.8,1507.0,44.7,131.0,No Failure
4349,Low,301.9,309.7,1595.0,31.4,133.0,No Failure
4350,Medium,301.9,309.7,1568.0,37.5,135.0,No Failure
4351,Low,301.8,309.6,1432.0,43.7,138.0,No Failure
4352,Low,301.9,309.7,1424.0,42.8,140.0,No Failure
4353,Medium,302.0,309.7,1386.0,62.7,142.0,Power Failure
4354,Low,302.0,309.8,1456.0,58.1,145.0,No Failure
4355,High,302.0,309.8,1280.0,57.3,147.0,Heat Dissipation Failure
4356,Low,302.0,309.8,1649.0,31.0,152.0,No Failure
4357,Low,302.0,309.9,1407.0,52.8,154.0,No Failure
4358,High,302.0,309.9,1606.0,34.5,156.0,No Failure
4359,Medium,302.1,310.0,1531.0,38.0,161.0,No Failure
4360,Low,302.1,310.1,1543.0,35.8,164.0,No Failure
4361,Medium,302.1,310.1,1379.0,48.2,166.0,Heat Dissipation Failure
4362,Low,302.1,310.1,1447.0,46.6,169.0,No Failure
4363,High,302.1,310.1,1844.0,24.6,171.0,No Failure
4364,High,302.1,310.1,1615.0,29.9,176.0,No Failure
4365,Low,302.0,310.0,1449.0,48.8,181.0,No Failure
4366,Low,302.0,309.9,1388.0,51.4,183.0,No Failure
4367,High,302.0,309.9,1447.0,42.8,185.0,No Failure
4368,Low,302.0,310.0,1664.0,28.6,190.0,No Failure
4369,High,302.0,309.9,1735.0,27.2,192.0,No Failure
4370,Low,302.0,309.9,1308.0,57.6,197.0,Heat Dissipation Failure
4371,Low,302.0,309.8,1480.0,40.0,199.0,No Failure
4372,Medium,301.9,309.6,1439.0,41.7,201.0,No Failure
4373,Medium,301.9,309.7,1533.0,35.9,204.0,No Failure
4374,Low,302.0,309.7,1551.0,34.8,207.0,No Failure
4375,Low,302.0,309.7,1414.0,36.3,209.0,No Failure
4376,Medium,301.9,309.6,1551.0,34.6,211.0,No Failure
4377,Medium,301.8,309.6,1436.0,49.0,214.0,No Failure
4378,Medium,301.9,309.6,1385.0,45.8,217.0,No Failure
4379,Medium,301.8,309.5,1732.0,30.1,220.0,No Failure
4380,Low,301.9,309.6,1410.0,49.0,223.0,No Failure
4381,Low,301.9,309.6,1446.0,43.2,225.0,No Failure
4382,Low,301.8,309.5,1525.0,39.6,227.0,No Failure
4383,Low,301.7,309.5,1298.0,65.5,229.0,Heat Dissipation Failure
4384,Low,301.8,309.6,1443.0,42.7,231.0,No Failure
4385,Low,301.8,309.7,1442.0,45.3,233.0,Tool Wear Failure
4386,Low,301.9,309.7,1719.0,31.9,0.0,No Failure
4387,Low,302.0,309.8,1532.0,39.4,2.0,No Failure
4388,Low,302.0,309.8,1701.0,27.2,4.0,No Failure
4389,Medium,302.1,310.0,1355.0,45.1,6.0,Heat Dissipation Failure
4390,Medium,302.2,310.1,1421.0,45.4,9.0,No Failure
4391,Medium,302.2,310.1,1368.0,51.6,12.0,Heat Dissipation Failure
4392,Low,302.2,310.1,1458.0,45.1,15.0,No Failure
4393,Medium,302.2,310.1,1572.0,34.6,17.0,No Failure
4394,Low,302.2,310.0,1483.0,48.7,20.0,No Failure
4395,Low,302.3,310.1,1513.0,40.4,22.0,No Failure
4396,High,302.3,310.1,1383.0,42.9,24.0,No Failure
4397,Low,302.4,310.2,1539.0,37.7,29.0,No Failure
4398,Medium,302.3,310.1,1563.0,37.8,31.0,No Failure
4399,Low,302.3,310.1,1653.0,29.7,34.0,No Failure
4400,Low,302.3,310.1,1353.0,50.9,36.0,Heat Dissipation Failure
4401,High,302.2,310.0,1468.0,43.6,38.0,No Failure
4402,High,302.3,310.2,1506.0,33.8,43.0,No Failure
4403,Low,302.3,310.1,1388.0,49.9,48.0,No Failure
4404,Medium,302.4,310.2,1485.0,45.9,50.0,No Failure
4405,Low,302.4,310.2,1331.0,45.5,53.0,Heat Dissipation Failure
4406,Low,302.5,310.3,1326.0,58.5,55.0,Heat Dissipation Failure
4407,Low,302.3,310.2,1394.0,55.4,57.0,No Failure
4408,Low,302.4,310.1,1895.5,18.9,59.0,No Failure
4409,Medium,302.4,310.1,1358.0,54.6,61.0,Heat Dissipation Failure
4410,Low,302.5,310.2,1586.0,32.2,64.0,No Failure
4411,Low,302.5,310.3,1688.0,31.6,66.0,No Failure
4412,Low,302.6,310.5,1450.0,43.2,68.0,No Failure
4413,Medium,302.7,310.5,1398.0,47.3,70.0,No Failure
4414,Low,302.7,310.5,1520.0,39.3,73.0,No Failure
4415,Low,302.6,310.4,1514.0,42.7,75.0,No Failure
4416,Medium,302.6,310.4,1532.0,36.1,77.0,No Failure
4417,Low,302.6,310.4,1365.0,66.8,80.0,Power Failure
4418,Low,302.6,310.3,1642.0,33.2,82.0,No Failure
4419,Medium,302.6,310.2,1895.5,12.800000000000011,84.0,Power Failure
4420,High,302.6,310.2,1873.0,21.3,87.0,No Failure
4421,Low,302.6,310.2,1325.0,62.4,92.0,Heat Dissipation Failure
4422,Medium,302.6,310.2,1895.5,17.2,94.0,No Failure
4423,Medium,302.6,310.2,1563.0,39.0,97.0,No Failure
4424,Medium,302.6,310.2,1631.0,31.0,100.0,No Failure
4425,Low,302.5,310.2,1547.0,36.9,103.0,No Failure
4426,Low,302.6,310.3,1479.0,40.4,105.0,No Failure
4427,Medium,302.4,310.1,1379.0,48.9,107.0,Heat Dissipation Failure
4428,Low,302.4,310.1,1895.5,21.2,110.0,No Failure
4429,Medium,302.3,310.1,1731.0,33.4,112.0,No Failure
4430,High,302.3,310.1,1688.0,30.4,115.0,No Failure
4431,High,302.3,310.2,1443.0,54.6,120.0,No Failure
4432,Low,302.4,310.2,1445.0,46.4,125.0,No Failure
4433,High,302.4,310.2,1435.0,44.9,127.0,No Failure
4434,Low,302.4,310.1,1556.0,32.9,132.0,No Failure
4435,Low,302.3,310.1,1321.0,52.7,134.0,Heat Dissipation Failure
4436,Medium,302.4,310.1,1577.0,35.8,136.0,No Failure
4437,Low,302.4,310.2,1578.0,31.2,139.0,No Failure
4438,Low,302.4,310.1,1418.0,52.3,141.0,No Failure
4439,Medium,302.4,310.2,1392.0,55.8,143.0,No Failure
4440,Low,302.5,310.3,1446.0,44.0,146.0,No Failure
4441,Low,302.5,310.2,1329.0,50.6,148.0,Heat Dissipation Failure
4442,Low,302.5,310.2,1563.0,34.8,150.0,No Failure
4443,Low,302.5,310.3,1405.0,57.4,152.0,No Failure
4444,Low,302.4,310.2,1895.5,16.0,154.0,No Failure
4445,Low,302.5,310.2,1716.0,29.9,156.0,No Failure
4446,Low,302.5,310.3,1584.0,35.5,158.0,No Failure
4447,Medium,302.5,310.3,1488.0,41.8,160.0,No Failure
4448,Low,302.4,310.3,1374.0,51.2,163.0,Heat Dissipation Failure
4449,Medium,302.4,310.3,1378.0,54.3,165.0,Heat Dissipation Failure
4450,Low,302.5,310.3,1551.0,37.3,168.0,No Failure
4451,Low,302.5,310.3,1549.0,40.9,170.0,No Failure
4452,Medium,302.5,310.3,1447.0,39.2,172.0,No Failure
4453,Low,302.4,310.2,1400.0,53.7,175.0,No Failure
4454,Low,302.4,310.1,1401.0,48.8,177.0,No Failure
4455,High,302.4,310.1,1597.0,28.9,179.0,No Failure
4456,Low,302.3,310.1,1487.0,46.0,184.0,No Failure
4457,Medium,302.5,310.3,1710.0,27.3,186.0,No Failure
4458,Low,302.6,310.4,1478.0,47.7,189.0,No Failure
4459,Low,302.6,310.4,1743.0,26.3,191.0,No Failure
4460,Low,302.6,310.5,1596.0,32.8,193.0,No Failure
4461,Low,302.7,310.5,1642.0,30.8,195.0,No Failure
4462,Low,302.7,310.5,1263.0,67.19999999999999,197.0,Heat Dissipation Failure
4463,Low,302.8,310.6,1895.5,19.9,199.0,No Failure
4464,Low,302.8,310.6,1671.0,30.5,201.0,No Failure
4465,Low,302.8,310.6,1404.0,43.2,203.0,No Failure
4466,Low,302.8,310.6,1470.0,41.1,205.0,No Failure
4467,Low,302.8,310.6,1617.0,37.9,207.0,No Failure
4468,Low,302.7,310.5,1725.0,29.0,209.0,No Failure
4469,Low,302.7,310.5,1446.0,40.9,211.0,Tool Wear Failure
4470,Low,302.7,310.6,1564.0,34.3,0.0,No Failure
4471,Low,302.8,310.6,1670.0,29.1,2.0,No Failure
4472,Low,302.7,310.6,1501.0,48.7,4.0,No Failure
4473,Low,302.7,310.5,1551.0,35.9,6.0,No Failure
4474,Low,302.7,310.5,1563.0,35.0,8.0,No Failure
4475,Low,302.7,310.5,1351.0,41.8,10.0,Heat Dissipation Failure
4476,Low,302.6,310.4,1415.0,52.1,12.0,No Failure
4477,Low,302.6,310.3,1647.0,34.2,14.0,No Failure
4478,Low,302.5,310.2,1477.0,41.6,16.0,No Failure
4479,Low,302.6,310.2,1895.5,21.5,18.0,No Failure
4480,High,302.7,310.4,1305.0,55.2,20.0,Heat Dissipation Failure
4481,Medium,302.6,310.4,1544.0,35.1,25.0,No Failure
4482,High,302.7,310.5,1568.0,36.9,28.0,No Failure
4483,Low,302.7,310.4,1489.0,42.7,33.0,No Failure
4484,Medium,302.6,310.4,1451.0,43.1,35.0,No Failure
4485,Low,302.7,310.4,1542.0,35.7,38.0,No Failure
4486,Medium,302.6,310.5,1895.5,20.2,40.0,No Failure
4487,Low,302.5,310.5,1436.0,36.5,43.0,No Failure
4488,Medium,302.5,310.4,1509.0,37.6,45.0,No Failure
4489,Low,302.5,310.4,1487.0,40.2,48.0,No Failure
4490,Low,302.5,310.4,1895.5,20.3,50.0,No Failure
4491,High,302.6,310.4,1409.0,53.3,52.0,No Failure
4492,Medium,302.6,310.5,1420.0,56.4,57.0,No Failure
4493,Low,302.7,310.5,1511.0,37.7,60.0,No Failure
4494,High,302.6,310.4,1649.0,30.1,62.0,No Failure
4495,Low,302.6,310.4,1359.0,57.2,67.0,Heat Dissipation Failure
4496,Medium,302.5,310.4,1605.0,36.0,69.0,No Failure
4497,Low,302.5,310.3,1523.0,36.0,72.0,No Failure
4498,High,302.6,310.4,1614.0,36.0,74.0,No Failure
4499,High,302.6,310.3,1721.0,27.4,79.0,No Failure
4500,Low,302.6,310.4,1638.0,36.2,84.0,No Failure
4501,Low,302.5,310.2,1307.0,54.0,86.0,Heat Dissipation Failure
4502,Low,302.4,310.2,1642.0,28.3,88.0,No Failure
4503,Medium,302.5,310.2,1751.0,30.5,90.0,No Failure
4504,Low,302.4,310.1,1645.0,31.6,93.0,No Failure
4505,Low,302.4,310.1,1426.0,46.8,95.0,No Failure
4506,Medium,302.4,310.1,1520.0,36.6,97.0,No Failure
4507,Low,302.4,310.1,1709.0,31.8,100.0,No Failure
4508,Low,302.4,310.0,1426.0,46.6,102.0,No Failure
4509,Low,302.4,310.1,1429.0,43.7,104.0,No Failure
4510,Low,302.4,310.2,1346.0,62.4,106.0,Heat Dissipation Failure
4511,Low,302.5,310.2,1454.0,43.0,108.0,No Failure
4512,Medium,302.5,310.3,1411.0,49.5,110.0,No Failure
4513,Low,302.4,310.3,1895.5,24.4,113.0,No Failure
4514,Low,302.4,310.3,1479.0,36.2,115.0,No Failure
4515,Low,302.5,310.4,1415.0,48.2,117.0,No Failure
4516,Low,302.5,310.3,1539.0,39.0,119.0,No Failure
4517,Low,302.4,310.3,1520.0,31.6,121.0,No Failure
4518,Low,302.4,310.3,1480.0,45.8,123.0,No Failure
4519,Low,302.4,310.4,1666.0,29.7,125.0,No Failure
4520,Low,302.4,310.4,1456.0,47.6,127.0,No Failure
4521,Low,302.4,310.4,1865.0,23.9,129.0,No Failure
4522,Medium,302.5,310.5,1895.5,21.6,131.0,No Failure
4523,Low,302.5,310.4,1488.0,48.4,134.0,No Failure
4524,Medium,302.5,310.5,1527.0,38.8,136.0,No Failure
4525,Medium,302.4,310.4,1463.0,42.2,139.0,No Failure
4526,Low,302.4,310.4,1521.0,38.5,142.0,No Failure
4527,Medium,302.4,310.5,1372.0,45.7,144.0,Heat Dissipation Failure
4528,Low,302.5,310.5,1507.0,39.5,147.0,No Failure
4529,Medium,302.4,310.4,1586.0,34.3,149.0,No Failure
4530,Low,302.5,310.4,1487.0,42.0,152.0,No Failure
4531,Low,302.5,310.5,1520.0,41.2,154.0,No Failure
4532,High,302.5,310.4,1422.0,41.9,156.0,No Failure
4533,Medium,302.4,310.3,1375.0,52.5,161.0,Heat Dissipation Failure
4534,Low,302.4,310.2,1633.0,28.0,164.0,No Failure
4535,Low,302.4,310.2,1503.0,36.2,166.0,No Failure
4536,Low,302.4,310.2,1351.0,45.1,168.0,Heat Dissipation Failure
4537,Low,302.3,310.2,1548.0,35.3,170.0,No Failure
4538,Low,302.4,310.3,1895.5,23.3,172.0,No Failure
4539,Low,302.5,310.3,1592.0,32.6,174.0,No Failure
4540,Medium,302.5,310.4,1580.0,35.6,176.0,No Failure
4541,Low,302.5,310.4,1427.0,46.8,179.0,No Failure
4542,Medium,302.5,310.4,1581.0,32.7,181.0,No Failure
4543,Medium,302.6,310.5,1542.0,39.9,184.0,No Failure
4544,Low,302.5,310.4,1349.0,55.1,187.0,Heat Dissipation Failure
4545,Low,302.5,310.5,1463.0,43.0,189.0,No Failure
4546,Medium,302.5,310.4,1429.0,43.2,191.0,No Failure
4547,Medium,302.5,310.4,1451.0,53.6,194.0,No Failure
4548,Low,302.6,310.5,1511.0,37.2,197.0,No Failure
4549,Low,302.6,310.6,1549.0,37.5,199.0,No Failure
4550,Medium,302.5,310.5,1507.0,40.2,201.0,No Failure
4551,Medium,302.6,310.5,1524.0,33.7,204.0,No Failure
4552,Medium,302.7,310.5,1880.0,22.7,207.0,No Failure
4553,Low,302.6,310.5,1461.0,45.4,0.0,No Failure
4554,Low,302.6,310.5,1748.0,28.2,2.0,No Failure
4555,Low,302.7,310.6,1690.0,26.7,4.0,No Failure
4556,Medium,302.7,310.6,1349.0,51.2,6.0,Heat Dissipation Failure
4557,Low,302.7,310.6,1686.0,26.3,9.0,No Failure
4558,Low,302.7,310.7,1369.0,47.5,11.0,Heat Dissipation Failure
4559,Low,302.7,310.7,1433.0,43.7,13.0,No Failure
4560,Low,302.7,310.7,1597.0,41.9,15.0,No Failure
4561,Low,302.9,310.8,1610.0,32.2,17.0,No Failure
4562,Low,302.7,310.7,1398.0,57.7,19.0,No Failure
4563,Low,302.7,310.7,1895.5,20.0,21.0,No Failure
4564,Low,302.8,310.8,1516.0,39.5,23.0,No Failure
4565,High,302.7,310.8,1275.0,55.0,25.0,Heat Dissipation Failure
4566,Low,302.8,310.8,1402.0,50.5,30.0,No Failure
4567,Medium,302.8,310.8,1451.0,44.7,32.0,No Failure
4568,Medium,302.7,310.8,1555.0,36.1,35.0,No Failure
4569,Low,302.8,310.9,1636.0,35.0,38.0,No Failure
4570,Low,302.8,310.9,1312.0,52.2,40.0,Heat Dissipation Failure
4571,Low,302.8,310.9,1708.0,29.8,42.0,No Failure
4572,Medium,302.9,311.0,1556.0,36.5,44.0,No Failure
4573,High,302.8,311.0,1436.0,43.5,47.0,No Failure
4574,Medium,302.9,311.0,1402.0,40.7,52.0,No Failure
4575,Medium,302.9,311.0,1437.0,49.9,55.0,No Failure
4576,Medium,302.9,311.1,1895.5,21.8,58.0,No Failure
4577,Low,303.0,311.2,1800.0,23.7,61.0,No Failure
4578,Low,303.0,311.2,1641.0,32.6,63.0,No Failure
4579,Low,303.0,311.2,1374.0,48.2,65.0,Heat Dissipation Failure
4580,Low,303.0,311.2,1494.0,37.0,67.0,No Failure
4581,Low,303.0,311.2,1601.0,32.9,69.0,No Failure
4582,Low,302.9,311.2,1634.0,36.9,71.0,No Failure
4583,Medium,302.9,311.2,1467.0,37.7,73.0,No Failure
4584,Low,302.8,311.1,1550.0,32.3,76.0,No Failure
4585,Low,302.8,311.1,1563.0,32.2,78.0,No Failure
4586,Low,302.7,310.9,1395.0,48.3,80.0,No Failure
4587,Medium,302.8,311.0,1507.0,33.4,82.0,No Failure
4588,Low,302.8,311.0,1564.0,38.5,85.0,No Failure
4589,Low,302.8,311.1,1721.0,30.0,87.0,No Failure
4590,Low,302.8,311.1,1456.0,36.1,89.0,No Failure
4591,High,302.9,311.2,1895.5,17.8,91.0,No Failure
4592,Low,302.9,311.1,1555.0,33.9,96.0,No Failure
4593,Low,303.0,311.2,1409.0,41.9,98.0,No Failure
4594,Medium,303.0,311.2,1387.0,41.4,100.0,No Failure
4595,Medium,303.0,311.2,1460.0,43.9,103.0,No Failure
4596,Low,303.0,311.2,1361.0,47.6,106.0,Heat Dissipation Failure
4597,Medium,303.0,311.1,1490.0,43.0,108.0,No Failure
4598,Low,303.1,311.2,1399.0,49.2,111.0,No Failure
4599,Low,303.1,311.1,1420.0,55.8,113.0,No Failure
4600,Low,303.0,311.0,1359.0,44.2,115.0,Heat Dissipation Failure
4601,Medium,303.0,311.1,1372.0,54.3,117.0,Heat Dissipation Failure
